item_id,display_name,main_category
61,北京首都国际机场商业区,特色街区
67,上海虹桥天地,特色街区
68,成都宽窄巷子,特色街区
83,南京夫子庙步行街,特色街区
87,西安回民街,特色街区
99,杭州河坊街,特色街区
125,广州北京路步行街,特色街区
149,重庆解放碑步行街,特色街区
155,天津古文化街,特色街区
28,Suraya餐厅,公园景区
30,颐和园,公园景区
43,天坛公园,公园景区
64,中山公园,公园景区
102,北海公园,公园景区
157,香山公园,公园景区
209,景山公园,公园景区
222,玉渊潭公园,公园景区
82,北京海洋馆,动物园
85,北京动物园,动物园
179,上海野生动物园,动物园
194,广州长隆野生动物世界,动物园
195,成都大熊猫繁育研究基地,动物园
203,深圳野生动物园,动物园
216,珠海长隆海洋王国,动物园
6,国家大剧院,博物馆
11,中国科技馆,博物馆
13,中国儿童中心,博物馆
32,上海自然博物馆,博物馆
37,奥林匹克森林公园,博物馆
38,中国铁道博物馆,博物馆
41,西安碑林博物馆,博物馆
59,陕西历史博物馆,博物馆
65,中国国家博物馆,博物馆
73,中国航空博物馆,博物馆
81,苏州博物馆,博物馆
84,南京博物院,博物馆
86,湖南省博物馆,博物馆
97,上海博物馆,博物馆
104,中国电影博物馆,博物馆
105,首都博物馆,博物馆
106,南京美术馆,博物馆
108,国家图书馆,博物馆
126,中国美术馆,博物馆
128,上海科技馆,博物馆
134,中国民俗博物馆,博物馆
146,798艺术区,博物馆
147,中国人民革命军事博物馆,博物馆
166,重庆中国三峡博物馆,博物馆
167,河南博物院,博物馆
176,湖北省博物馆,博物馆
178,天津博物馆,博物馆
202,浙江省博物馆,博物馆
210,广东省博物馆,博物馆
219,四川博物院,博物馆
220,云南省博物馆,博物馆
223,故宫博物院,博物馆
50,鼓楼,历史地标
60,天安门广场,历史地标
63,钟楼,历史地标
76,前门大街,历史地标
107,八达岭长城,历史地标
131,慕田峪长城,历史地标
180,司马台长城,历史地标
15,三亚亚龙湾度假区,度假村
23,海南清水湾度假区,度假村
116,丽江悦榕庄,度假村
119,大理洱海度假区,度假村
133,桂林阳朔度假区,度假村
152,九寨沟度假区,度假村
169,黄山温泉度假区,度假村
175,千岛湖度假区,度假村
182,厦门鼓浪屿度假区,度假村
188,青岛崂山度假区,度假村
227,杭州西溪度假区,度假村
0,鸟巢国家体育场,户外活动
129,张家界国家森林公园,户外活动
168,水立方国家游泳中心,户外活动
4,什刹海游船,旅游观光
10,北京胡同游,旅游观光
17,青岛啤酒博物馆,旅游观光
22,茅台酒文化城,旅游观光
27,老北京风情游,旅游观光
42,免费徒步游,旅游观光
45,北京三轮车胡同游,旅游观光
49,德云社相声,旅游观光
54,北京夜游,旅游观光
58,采摘园,旅游观光
88,灰线旅游,旅游观光
96,皇家马车游,旅游观光
109,北京烹饪学校,旅游观光
113,湿地公园游,旅游观光
124,徒步长城游,旅游观光
137,京杭大运河游船,旅游观光
140,老字号美食街,旅游观光
161,精酿啤酒工坊,旅游观光
164,游船观光,旅游观光
165,游船巡游,旅游观光
172,潘家园古玩市场,旅游观光
177,北京茶文化体验,旅游观光
186,张裕葡萄酒庄园,旅游观光
208,葡萄酒庄园游,旅游观光
213,国家大剧院演出,旅游观光
228,自行车城市游,旅游观光
229,历史文化游,旅游观光
232,定制旅游,旅游观光
71,北京植物园,植物园
89,青岛海底世界,水族馆
185,大连圣亚海洋世界,水族馆
204,海洋主题餐厅,水族馆
29,海滨浴场,海滩
31,烧烤海鲜大排档,海滩
112,三亚大东海,海滩
156,海滨度假村,海滩
196,青岛第一海水浴场,海滩
201,海鲜餐厅,海滩
12,水上乐园,游乐园
40,室内游乐场,游乐园
160,方特欢乐世界,游乐园
171,长隆欢乐世界,游乐园
14,北京西站,文化体验
33,城际巴士,文化体验
53,租车服务,文化体验
100,机场停车服务,文化体验
115,航空服务,文化体验
121,租车服务中心,文化体验
122,经济型租车,文化体验
123,停车租车服务,文化体验
138,租车公司,文化体验
145,租车服务站,文化体验
199,房车租赁,文化体验
230,汽车服务中心,文化体验
74,有轨电车观光,艺术娱乐
36,体育用品商店,购物
1,上海迪士尼乐园,主题乐园
5,北京欢乐谷,主题乐园
16,深圳欢乐谷,主题乐园
62,成都欢乐谷,主题乐园
70,武汉欢乐谷,主题乐园
80,天津欢乐谷,主题乐园
93,广州长隆欢乐世界,主题乐园
103,重庆欢乐谷,主题乐园
111,芜湖方特欢乐世界,主题乐园
117,郑州方特欢乐世界,主题乐园
132,宁波方特东方神画,主题乐园
135,青岛方特梦幻王国,主题乐园
144,大连发现王国,主题乐园
151,常州中华恐龙园,主题乐园
192,苏州乐园,主题乐园
198,无锡融创乐园,主题乐园
218,珠海长隆海洋王国,主题乐园
2,北京王府井希尔顿酒店,酒店住宿
3,北京瑰丽酒店,酒店住宿
7,北京国贸大酒店,酒店住宿
8,上海和平饭店,酒店住宿
9,外滩酒吧,酒店住宿
18,北京金茂威斯汀大饭店,酒店住宿
19,上海外滩华尔道夫酒店,酒店住宿
20,北京东方君悦大酒店,酒店住宿
21,上海浦东香格里拉大酒店,酒店住宿
25,北京饭店,酒店住宿
26,精品客栈,酒店住宿
34,上海半岛酒店,酒店住宿
35,上海万豪虹桥大酒店,酒店住宿
39,杭州西子湖四季酒店,酒店住宿
44,咖啡馆,酒店住宿
46,月亮湾酒店,酒店住宿
48,北京长安街W酒店,酒店住宿
51,成都钓鱼台精品酒店,酒店住宿
57,丽江悦榕庄,酒店住宿
66,法式精品酒店,酒店住宿
69,上海浦东丽思卡尔顿酒店,酒店住宿
72,深圳福田香格里拉大酒店,酒店住宿
77,广州花园酒店,酒店住宿
78,南京金陵饭店,酒店住宿
79,青岛海景花园大酒店,酒店住宿
90,苏州凯悦酒店,酒店住宿
92,特色餐厅,酒店住宿
94,杭州西湖国宾馆,酒店住宿
98,西安索菲特人民大厦,酒店住宿
114,厦门磐基希尔顿酒店,酒店住宿
118,大理洱海天域英迪格酒店,酒店住宿
120,丽江古城精品客栈,酒店住宿
127,高档餐厅,酒店住宿
130,重庆解放碑威斯汀酒店,酒店住宿
136,精品酒店,酒店住宿
139,武汉万达瑞华酒店,酒店住宿
141,三亚海棠湾君悦酒店,酒店住宿
142,天津海河假日酒店,酒店住宿
143,桂林香格里拉大酒店,酒店住宿
148,拉萨瑞吉度假酒店,酒店住宿
150,丽江金茂凯悦臻选酒店,酒店住宿
153,历史建筑酒店,酒店住宿
154,全景观景餐厅,酒店住宿
158,米其林餐厅,酒店住宿
159,北京丽思卡尔顿酒店,酒店住宿
162,高级牛排馆,酒店住宿
163,精品设计酒店,酒店住宿
170,南京金奥费尔蒙酒店,酒店住宿
181,上海外滩英迪格酒店,酒店住宿
183,大理双廊海景度假酒店,酒店住宿
184,青岛海景花园酒店,酒店住宿
189,苏州园林精品酒店,酒店住宿
190,海景度假酒店,酒店住宿
191,广州四季酒店,酒店住宿
193,特色餐厅,酒店住宿
197,深圳四季酒店,酒店住宿
200,成都尼依格罗酒店,酒店住宿
205,海滨度假酒店,酒店住宿
207,沙漠度假酒店,酒店住宿
211,上海浦东四季酒店,酒店住宿
212,海滨豪华酒店,酒店住宿
214,创意融合餐厅,酒店住宿
215,会员制俱乐部,酒店住宿
217,杭州西溪悦榕庄,酒店住宿
221,三亚亚龙湾丽思卡尔顿酒店,酒店住宿
224,峡谷度假酒店,酒店住宿
225,海滩酒吧,酒店住宿
226,西安万丽酒店,酒店住宿
231,海港精品酒店,酒店住宿
24,娱乐餐厅,餐饮美食
47,高尔夫娱乐中心,餐饮美食
52,酒吧餐厅,餐饮美食
55,保龄球娱乐中心,餐饮美食
56,高档西餐厅,餐饮美食
75,保龄球馆,餐饮美食
