item_id,original_name,display_name,category
17,Budweiser Brewery Experience,旅游景点 17,"Bars, Beer Gardens, Food, Breweries, Nightlife, Tours, Pubs, Wine Tours, Beer Tours, Hotels & Travel"
6,Gaylord Opryland Resort & Convention Center,旅游景点 6,"Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas"
20,Kimpton Hotel Monaco Philadelphia,旅游景点 20,"Hotels & Travel, Event Planning & Services, Venues & Event Spaces, Hotels, Wedding Planning"
21,Royal Sonesta New Orleans,旅游景点 21,"Event Planning & Services, Hotels & Travel, Hotels, Restaurants, Bed & Breakfast"
29,Hubbard's Marina,旅游景点 29,"Fishing, Beaches, Boating, Active Life, Boat Charters, Travel Services, Event Planning & Services, Hotels & Travel, Diving"
27,The Voodoo Bone Lady Tours,旅游景点 27,"Supernatural Readings, Tours, Hotels & Travel, Walking Tours, Arts & Entertainment"
9,Desire Oyster Bar,旅游景点 9,"Southern, Event Planning & Services, Restaurants, Cajun/Creole, Seafood, Live/Raw Food, Hotels & Travel, Hotels"
7,DoubleTree by Hilton Hotel Philadelphia Center City,旅游景点 7,"Hotels, Event Planning & Services, Caterers, Hotels & Travel"
12,Sahara Sam's Water Park,旅游景点 12,"Water Parks, Event Planning & Services, Arcades, Amusement Parks, Local Services, Active Life, Party & Event Planning, Arts & Entertainment"
16,Casino Del Sol,旅游景点 16,"Arts & Entertainment, Hotels & Travel, Casinos, Diners, Restaurants, Mexican, Resorts"
22,Tennessee Brew Works,旅游景点 22,"Breweries, Venues & Event Spaces, Beer Bar, Food, Pubs, Tours, Nightlife, Restaurants, Event Planning & Services, Hotels & Travel, Bars, Beer Tours, Arts & Entertainment, American (Traditional), Gastropubs, Music Venues, American (New)"
24,Dave & Buster's,旅游景点 24,"Adult Entertainment, Sports Bars, Restaurants, Eatertainment, Pool Halls, Bars, Active Life, Arts & Entertainment, American (Traditional), Bowling, Arcades, Nightlife"
