item_id,display_name,main_category
61,Nashville 国际机场 - BNA,交通枢纽
67,Tucson 国际机场 - TUS,交通枢纽
68,Reno-Tahoe 国际机场,交通枢纽
83,Philadelphia 国际机场 - PHL,交通枢纽
87,Indianapolis 国际机场 - IND,交通枢纽
99,Boise 机场,交通枢纽
125,Tampa 国际机场,交通枢纽
149,Louis Armstrong New Orleans 国际机场  MSY,交通枢纽
155,St. Louis Lambert 国际机场 - STL,交通枢纽
28,Suraya,公园景区
30,新奥尔良城市公园,公园景区
43,德索托堡公园,公园景区
64,云杉街海港公园,公园景区
102,杰克逊广场,公园景区
157,蜜月岛州立公园,公园景区
209,Independence Beer Garden,公园景区
222,The Boathouse at Forest Park,公园景区
82,奥杜邦美洲水族馆,动物园
85,纳什维尔草原动物园,动物园
179,圣巴巴拉动物园,动物园
194,圣路易斯动物园,动物园
195,坦帕洛瑞公园动物园,动物园
203,印第安纳波利斯动物园,动物园
216,奥杜邦动物园,动物园
6,盖洛德奥普兰度假会议中心,博物馆
11,新田艺术自然博物馆,博物馆
13,印第安纳波利斯儿童博物馆,博物馆
32,费城动物园,博物馆
37,森林公园,博物馆
38,Please Touch Museum,博物馆
41,圣巴巴拉教会,博物馆
59,大拱门,博物馆
65,乡村音乐名人堂博物馆,博物馆
73,皮马航空航天博物馆,博物馆
81,密苏里植物园,博物馆
84,贝尔米德历史遗址与酒庄,博物馆
86,安德鲁·杰克逊隐居地,博物馆
97,Museum of Death,博物馆
104,披萨大脑博物馆,博物馆
105,费城艺术博物馆,博物馆
106,冒险水族馆,博物馆
108,莱曼礼堂,博物馆
126,穆特博物馆,博物馆
128,狂欢节世界,博物馆
134,玛丽·拉沃巫毒屋,博物馆
146,雕塑公园,博物馆
147,国家二战博物馆,博物馆
166,城市博物馆,博物馆
167,帕特农神庙,博物馆
176,新奥尔良艺术博物馆,博物馆
178,富兰克林科学博物馆,博物馆
202,约翰尼·卡什博物馆,博物馆
210,达利博物馆,博物馆
219,乔治·琼斯博物馆餐厅,博物馆
220,亚利桑那-索诺拉沙漠博物馆,博物馆
223,巴恩斯基金会,博物馆
50,Skull's Rainbow Room,历史地标
60,自由钟中心,历史地标
63,Tootsie's Orchid Lounge,历史地标
76,斯特恩斯码头,历史地标
107,独立宫,历史地标
131,东州监狱历史遗址,历史地标
180,法国区幽灵游,历史地标
15,Shephard's 海滩 度假村,度假村
23,Safety 港口 度假村 & 水疗中心 商标精选,度假村
116,"The 丽思卡尔顿 Bacara, Santa 酒吧bara",度假村
119,Postcard 客栈 on the 海滩,度假村
133,JW 万豪Tucson Starr Pass 度假村 & 水疗中心,度假村
152,The 烧烤餐厅 at Hacienda Del Sol,度假村
169,皇冠假日 New Orleans French Quarter,度假村
175,洲际 New Orleans,度假村
182,TradeWinds Island Grand,度假村
188,The 威斯汀 La Paloma 度假村 & 水疗中心,度假村
227,四季 度假村 The Biltmore Santa 酒吧bara,度假村
0,市民银行球场,户外活动
129,玫瑰山滑雪场,户外活动
168,纯品康纳球场,户外活动
4,纳奇兹蒸汽船,旅游观光
10,卡津探险旅游公司,旅游观光
17,百威啤酒厂体验馆,旅游观光
22,Tennessee Brew Works,旅游观光
27,The Voodoo Bone Lady 旅游,旅游观光
42,免费徒步游,旅游观光
45,Nashville Pedal 酒馆,旅游观光
49,野马沙龙,旅游观光
54,New Orleans Ghost 探险 游览,旅游观光
58,Linvilla Orchards,旅游观光
88,灰线旅游,旅游观光
96,Royal Carriages,旅游观光
109,新奥尔良烹饪学校,旅游观光
113,Ultimate Swamp 探险,旅游观光
124,Two Chicks Walking 旅游,旅游观光
137,让·拉菲特沼泽游,旅游观光
140,Mama's On the Hill,旅游观光
161,雪茄城啤酒厂,旅游观光
164,克里奥尔女王明轮船,旅游观光
165,Celebration Cruises,旅游观光
172,法国市场,旅游观光
177,Witches Brew 旅游,旅游观光
186,尼尔森绿蔷薇酿酒厂,旅游观光
208,Sustainable Wine 旅游,旅游观光
213,大奥普里,旅游观光
228,Confederacy of Cruisers Bike 旅游,旅游观光
229,Haunted History 旅游,旅游观光
232,Gate 1 Travel,旅游观光
71,长木花园,植物园
89,佛罗里达水族馆,水族馆
185,清水海洋水族馆,水族馆
204,Aquarium 餐厅,水族馆
29,Hubbard's 码头,海滩
31,约翰烤猪肉店,海滩
112,Hogan's 海滩,海滩
156,Sunset 烧烤餐厅 at Little 港口,海滩
196,清水海滩,海滩
201,Hurricane Seafood 餐厅,海滩
12,Sahara Sam's Water Park,游乐园
40,Break Through Reno,游乐园
160,芝麻街主题公园,游乐园
171,坦帕湾布希花园,游乐园
14,30街火车站,综合服务
33,美佳巴士,综合服务
